The International 2019,"Aug 15 - 25, 2019","Shanghai, China","$34,330,068 "
"EPICENTER Major
","Jun 22 - 30, 2019","Moscow, Russia","$1,000,000 "
MDL Disneyland? Paris Major,"May 4 - 12, 2019","Paris, France","$1,000,000 "
DreamLeague Season 11: The Stockholm Major,"Mar 14 - 24, 2019","Stockholm, Sweden","$1,000,000 "
The Chongqing Major,"Jan 19 - 27, 2019","Chongqing, China","$1,000,000 "
The Kuala Lumpur Major,"Nov 9 - 18, 2018","Kuala Lumpur, Malaysia","$1,000,000 "
The International 2018,"Aug 15 - 25, 2018","Vancouver, Canada","$25,532,177 "
China Dota2 Supermajor,"Jun 2 - 10, 2018","Shanghai, China","$1,500,000 "
ESL One Birmingham 2018,"May 23 - 27, 2018","Birmingham, England","$1,000,000 "
MDL Changsha Major,"May 14 - 20, 2018","Changsha, China","$1,000,000 "
EPICENTER XL,"Apr 27 - May 6, 2018","Moscow, Russia","$1,000,000 "
