John Yao,John Yao,USA
Matthew ''Cyborgmatt'' Bailey,Matthew Bailey,UK
Lee ''SunBhie'' Jeong-jae,Lee Jeong-jae,Korea
Ayse Elvan ''L1'' Aydemir ,Ayse Elvan Aydemir ,Turkey
Dmitriy ''Nukem'' Shishkov,Dmitriy Shishkov,Russia
Vitaliy ''Sword Art'' Petkin ,Vitaliy Petkin ,Ukraine
Arseniy ''ArsZeeqq'' Usov,Arseniy Usov,Russia
 Bai ''rOtk'' Fan,Bai Fan,China
Xu ''JaL'' Xiaoyun,Xu Xiaoyun,China
Zhou ''HK'' Haokang,Zhou Haokang,China
Nicole LaPointe ''totheLapointe'' Jameson,Nicole LaPointe Jameson,USA
 Phillip ''Tallgeese'' Aram, Phillip Aram,USA
Grant ''GranDGranT'' Harris ,Grant Harris ,USA
Kanishka ''BuLba'' Sosale ,Kanishka Sosale ,USA
Wilson ''Fronz'' Teng ,Wilson Teng ,Canada
Sarah ''StrawberryDota'' Loomis ,Sarah Loomis ,USA
Victor ''Nazgul'' Goossens ,Victor Goossens ,Netherlands
Steve ''LiQuiD112'' Arhancet ,Steve Arhancet ,USA
Mohamed ''almany-'' Morad ,Mohamed Morad ,Germany
Roman ''rmN-'' Paley ,Roman Paley ,Germany
Pan ''RuRu'' Jie,Pan Jie ,China
Pan ''Fei'' Fei,Pan Fei ,China
Gui ''Tol'' Xulong ,Gui Xulong ,China
Yao ''Yao'' Zhengzheng ,Yao Zhengzheng ,China
Hicham Chahine ,Hicham Chahine ,Norway
Danika ''Danimals'' Teo ,Danika Teo ,USA
Arjay ''papadom'' Domdom ,Arjay Domdom ,Philippines
Oliver ''izpAH'' Steer ,Oliver Steer ,Hungary
Titouan ''Sockshka'' Merloz ,Titouan Merloz ,France
Mia ''Roro'' Stellberg ,Mia Stellberg ,Finland
Jonathan ''Loda'' Berg ,Jonathan Berg ,Sweden
Joakim ''Akke'' Akterhall ,Joakim Akterhall ,Sweden
Henrik ''AdmiralBulldog'' Ahnberg ,Henrik Ahnberg ,Sweden
Marcus ''Caramon'' Lundberg ,Marcus Lundberg ,Finland
Kelly Ong ''kellymilkies'' Xiao Wei ,Kelly Ong Xiao Wei ,Singapore
Wu ''Fyms'' Junying ,Wu Junying ,China
Zhang ''LaNm'' Zhicheng ,Zhang Zhicheng ,China
Chen ''TheOne'' Peng ,Chen Peng ,China
Wang ''Banana'' Jiao ,Wang Jiao,China
Li ''Key'' Guo ,Li Guo,China
Tong ''CuZn'' Xin ,Tong Xin,China
Christian ''Xtian'' Roque ,Christian Roque ,Peru
Josue ''Bleu'' Ferrando ,Josue Ferrando ,Peru
Jose ''Raylock'' Gonzalez ,Jose Gonzalez ,Peru
Gregory ''WhatIsHip'' Laird ,Gregory Laird ,USA
Jared ''pandaeg0'' Fletcher ,Jared Fletcher ,USA
Robson ''TeaGuvnor'' Merritt ,Robson Merritt ,UK
Yevhen ''HarisPilton'' Zolotarov ,Yevhen Zolotarov ,Ukraine
Igor ''Caff'' Sydorenko ,Igor Sydorenko ,Ukraine
Dmitry ''Dakota'' Shymko ,Dmitry Shymko ,Ukraine
Andrey ''Mag'' Chipenko ,Andrey Chipenko ,Ukraine
Xie ''Super'' Junhao ,Xie Junhao ,China
Ronald ''Rhom'' Robins ,Ronald Robins ,Philippines
Yap Chee ''Kenchi'' Loong ,Yap Chee Loong ,Malaysia
Zak ''DashOCE'' Holman ,Zak Holman ,Australia
