Micha? ''Nisha'' Jankowski,Carry / Solo Middle,Active,2000/9/28,2014,"$675,853 ",2083
Yeik ''MidOne'' Nai Zheng,Carry / Solo Middle,Active,1996/6/3,2015,"$1,650,676 ",64237
Ludwig ''zai'' W?hlberg,Offlaner,Active,1997/8/5,2013,"$2,192,313 ",145547
Yazied ''YapzOr'' Jaradat,Support,Active,1994/10/17,2011,"$1,254,945 ",43944
Clement ''Puppey'' Ivanov ,Support,Active,1990/3/6,2007,"$2,619,428 ",257600
Roman ''RAMZES666'' Kushnarev ,Carry,Active,1999/4/25,2014,"$1,724,599 ",75197
Vladimir ''No[o]ne'' Minenko,Solo Middle,Active,1997/9/4,2014,"$1,563,337 ",44260
Pavel ''9pasha'' Khvastunov,Offlaner,Active,1992/6/30,2013,"$1,711,697 ",33529
Vladimir ''RodjER'' Nikogosyan ,Support,Inactive,1993/12/14,2014,"$1,296,359 ",21255
Alexei ''Solo'' Berezin ,Support,Active,1990/8/7,2012,"$1,734,748 ",78419
Zhang ''Paparazi灬'' Chengjun,Carry,Active,1996/6/27,2016,"$455,432 ",97956
Zeng ''Ori'' Jiaoyang?,Solo Middle,Active,1995/7/22,2016,"$548,614 ",20567
Zhou?''Yang''?Haiyang,Offlaner,Active,1996/11/15,2015,"$566,283 ",372272
Pan ''Fade'' Yi,Support,Active,1996/7/28,2016,"$647,646 ",70826
Ding ''Dy'' Cong,Support,Active,1997/5/11,2015,"$859,230 ",10651
Artour ''Arteezy'' Babaev,Carry,Active,1996/7/1,2013,"$2,172,898 ",671275
Syed Sumail ''SumaiL'' Hassan,Solo Middle,Active,1999/2/13,2015,"$3,590,258 ",219721
Gustav ''s4'' Magnusson,Offlaner,Inactive,1992/4/1,2012,"$2,433,588 ",189188
Andreas Franck ''Cr1t-'' Nielsen,Support,Active,1996/7/13,2012,"$1,918,138 ",130865
Tal ''Fly'' Aizik,Support,Active,1993/3/9,2012,"$2,293,567 ",130246
Lasse ''MATUMBAMAN'' Urpalainen ,Carry / Solo Middle,Inactive,1995/3/3,2014,"$3,558,531 ",110098
Amer ''Miracle-'' Al-Barkawi ,Carry / Solo Middle,Inactive,1997/6/20,2015,"$4,693,251 ",225037
Ivan ''MinD_ContRoL'' Ivanov ,Offlaner,Inactive,1995/1/20,2014,"$4,481,609 ",67035
Maroun ''GH'' Merhej ,Support,Inactive,1995/6/17,2014,"$4,086,657 ",68826
Kuro ''KuroKy'' Salehi Takhasomi ,Support,Inactive,1992/10/28,2010,"$5,145,684 ",238272
Aliwi ''w33'' Omar,Solo Middle,Inactive,1995/3/6,2014,"$1,355,856 ",113817
Wang ''Ame'' Chunyu ,Carry,Inactive,1997/4/7,2015,"$2,157,922 ",85409
Lu ''Somnus丶M'' Yao ,Solo Middle,Inactive,1995/12/16,2013,"$2,957,778 ",647035
Yang ''Chalice'' Shenyi ,Offlaner,Inactive,1998/8/16,2016,"$1,752,026 ",71810
Xu ''fy'' Linsen ,Support,Inactive,1995/2/12,2012,"$2,712,624 ",435678
Jian Wei ''xNova'' Yap,Support,Inactive,1997/10/1,2015,"$1,788,698 ",44117
Anucha ''Jabz'' Jirawong ,Support,Active,1998/9/22,2014,"$460,326 ",3210
Abed ''Abed'' Azel Yusop ,Solo Middle,Active,2000/8/2,2015,"$307,936 ",44786
Daryl Koh ''iceiceice'' Pei Xiang ,Offlaner / Carry,Inactive,1990/6/17,2005,"$1,447,157 ",134224
Djardel ''DJ'' Mampusti ,Support,Inactive,1994/11/6,2013,"$696,269 ",22255
Kim ''DuBu'' Doo-young ,Support,Active,1993/7/12,2014,"$559,187 ",6969
Marcus ''Ace'' Hoelgaard ,Carry,Inactive,1994/1/19,2012,"$729,020 ",15443
Adrian ''Fata'' Trinks ,Solo Middle,Active,1993/2/24,2012,"$1,232,093 ",56957
Neta ''33'' Shapira ,Offlaner,Active,1997/4/17,2015,"$378,281 ",8367
Martin ''Saksa'' Sazdov ,Support,Inactive,1995/6/12,2014,"$978,680 ",29076
Peter ''ppd'' Dager ,Support,Active,1991/11/2,2013,"$2,920,932 ",168679
Kim ''Gabbi'' Villafuerte ,Carry,Active,1998/8/1,2016,"$323,602 ",16049
Armel Paul ''Armel'' Tabios ,Solo Middle,Active,2000/1/20,2016,"$367,262 ",0
Anathan ''ana'' Pham ,Carry / Solo Middle,Inactive,1999/10/26,2013,"$6,019,676 ",63860
Topias ''Topson'' Taavitsainen ,Solo Middle,Inactive,1998/4/14,2017,"$5,415,158 ",50368
Sébastien ''Ceb'' Debs ,Offlaner,Inactive,1992/5/11,2011,"$5,489,526 ",113868
Jesse ''JerAx'' Vainikka ,Support,Inactive,1992/5/7,2013,"$6,470,561 ",103365
Johan ''N0tail'' Sundstein ,Support,Inactive,1993/10/8,2012,"$6,901,720 ",213346
Michael ''miCKe'' Vu ,Carry / Solo Middle,Active,1999/7/26,2016,"$161,623 ",4150
Maximilian ''qojqva'' Br?cker ,Carry / Solo Middle,Active,1995/9/27,2012,"$250,554 ",28709
Samuel ''Boxi'' Svahn ,Offlaner,Active,1998/4/10,2016,"$167,343 ",3127
Tommy ''Taiga'' Le ,Support,Active,1998/7/4,2017,"$168,183 ",3706
Aydin ''iNSaNiA'' Sarkohi ,Support,Active,1994/6/18,2016,"$172,886 ",7148
Wang ''old chicken'' Zhiyong ,Carry,Inactive,1993/5/26,2015,"$555,747 ",25524
Zhai ''一'' Jingkai ,Solo Middle,Active,1996/4/23,2017,"$219,943 ",2061
Ren ''eLeVeN'' Yangwei ,Offlaner,Inactive,1995/12/7,2013,"$1,139,471 ",282790
Hu ''Kaka'' Liangzhi ,Support,Active,1992/11/7,2014,"$1,588,247 ",119778
Song ''dark'' Runxi ,Support,Active,2019/1/1,2017,"$227,179 ",1767
Yawar ''YawaR'' Hassan ,Carry / Solo Middle,Active,1997/4/3,2015,"$362,527 ",15599
Quinn ''CCnC'' Callahan ,Solo Middle,Active,2019/1/1,2016,"$412,166 ",13013
Jingjun ''Sneyking'' Wu ,Offlaner,Active,1995/5/3,2012,"$381,789 ",12764
Arif ''MSS'' Anwar,Support,Active,1995/11/28,2013,"$444,972 ",19510
Johan ''pieliedie'' ?str?m ,Support,Active,1991/8/5,2007,"$937,174 ",43886
Christian ''Alucard'' Kimura ,Carry,Active,2019/1/1,1990,"$10",0
Sebastian ''Robo-Z'' Cerralta ,Solo Middle,Active,2019/1/1,2017,"$10",0
Benjamín ''Benjaz'' Lanao ,Offlaner,Active,1993/9/30,2014,"$50,355 ",876
Alexis ''sl4d1n-'' Cepeda ,Support,Active,2019/1/1,1990,"$10",0
Mariano ''Papita'' Caneda ,Support,Active,1995/1/19,2014,"$40,461 ",439
Cheng ''vtFαded'' Jia Hao ,Carry,Active,1998/7/31,2017,"$23,270 ",5521
Maurice '' KheZu'' Gutmann ,Offlaner,Inactive,1995/4/27,2015,"$186,108 ",28858
Milan ''MiLAN'' Kozomara ,Support,Inactive,1995/6/23,2014,"$61,217 ",7082
Rasmus ''MISERY'' Berth Filipsen ,Support,Inactive,1991/7/14,2008,"$1,479,770 ",97918
Vladislav ''Crystallize'' Krystanek ,Carry,Active,1999/8/8,2016,"$207,806 ",11751
Idan ''MagicaL'' Vardanian ,Solo Middle,Active,1998/10/25,2016,"$156,725 ",3641
Evgeniy ''Blizzy'' Ree ,Offlaner,Inactive,1995/1/5,2015,"$152,957 ",3073
Bakyt ''Zayac'' Emilzhanov ,Support,Active,1998/12/2,2015,"$145,483 ",2204
Akbar ''SoNNeikO'' Butaev ,Support,Active,1997/5/16,2014,"$278,784 ",53415
Du ''Monet'' Peng ,Carry,Active,1999/9/25,2015,"$741,604 ",59509
Gao ''Setsu'' Zhenxiong,Offlaner,Active,1999/2/14,2016,"$196,638 ",0
Su ''Flyby'' Lei,Support,Active,1997/3/10,2015,"$204,751 ",255
Zhang ''LaNm'' Zhicheng,Support,Inactive,1989/12/25,2011,"$1,232,850 ",329135
Tue ''ah fu'' Soon Chuan,Carry,Inactive,1994/6/6,2014,"$772,466 ",23027
Chai ''Mushi'' Yee Fung,Carry / Solo Middle,Active,1990/11/27,2011,"$815,520 ",44813
Kam ''Moon'' Boon Seng,Solo Middle,Active,1995/2/12,2014,"$443,375 ",1337
