The Kuala Lumpur Major,726228,Bai ''rOtk'' Fan,7-8th
The Chongqing Major,726228,Bai ''rOtk'' Fan,1st
DreamLeague Season 11,726228,Bai ''rOtk'' Fan,7-8th
MDL Disneyland? Paris Major,726228,Bai ''rOtk'' Fan,1st
EPICENTER Major,726228,Bai ''rOtk'' Fan,5-6th
The International 2019,726228,Bai ''rOtk'' Fan,10-12th
ESL One Birmingham 2018,39,Phillip ''Tallgeese'' Aram,9-12th
China Dota2 Supermajor,39,Phillip ''Tallgeese'' Aram,3rd
The International 2018,39,Phillip ''Tallgeese'' Aram,3rd
The Kuala Lumpur Major,39,Phillip ''Tallgeese'' Aram,3rd
The Chongqing Major,39,Phillip ''Tallgeese'' Aram,7-8th
DreamLeague Season 11,39,Phillip ''Tallgeese'' Aram,3rd
MDL Disneyland? Paris Major,39,Phillip ''Tallgeese'' Aram,13-16th
EPICENTER Major,39,Phillip ''Tallgeese'' Aram,5-6th
The International 2019,39,Phillip ''Tallgeese'' Aram,4th
ESL One Birmingham 2018,350190,Abed ''Abed'' Azel Yusop ,13-16th
The International 2018,350190,Abed ''Abed'' Azel Yusop ,7-8th
The Kuala Lumpur Major,350190,Abed ''Abed'' Azel Yusop ,5-6th
The Chongqing Major,350190,Abed ''Abed'' Azel Yusop ,3rd
DreamLeague Season 11,350190,Abed ''Abed'' Azel Yusop ,13-16th
MDL Disneyland? Paris Major,350190,Abed ''Abed'' Azel Yusop ,13-16th
EPICENTER Major,350190,Abed ''Abed'' Azel Yusop ,13-16th
The International 2019,350190,Abed ''Abed'' Azel Yusop ,7-8th
EPICENTER XL,1838315,Adrian ''Fata'' Trinks ,5-6th
MDL Changsha Major,1838315,Adrian ''Fata'' Trinks ,4th
China Dota2 Supermajor,1838315,Adrian ''Fata'' Trinks ,5-6th
The International 2018,1838315,Adrian ''Fata'' Trinks ,4th
The Kuala Lumpur Major,5110520,Adrian ''Fata'' Trinks ,9-12th
DreamLeague Season 11,5110520,Adrian ''Fata'' Trinks ,5-6th
MDL Disneyland? Paris Major,5110520,Adrian ''Fata'' Trinks ,17-18th
The International 2019,5110520,Adrian ''Fata'' Trinks ,13-16th
DreamLeague Season 11,36,Akbar ''SoNNeikO'' Butaev ,13-16th
The International 2019,36,Akbar ''SoNNeikO'' Butaev ,4th
EPICENTER XL,1883502,Alexei ''Solo'' Berezin ,1st
ESL One Birmingham 2018,1883502,Alexei ''Solo'' Berezin ,2nd
China Dota2 Supermajor,1883502,Alexei ''Solo'' Berezin ,5-6th
The International 2018,1883502,Alexei ''Solo'' Berezin ,1st
The Kuala Lumpur Major,1883502,Alexei ''Solo'' Berezin ,2nd
The Chongqing Major,1883502,Alexei ''Solo'' Berezin ,2nd
DreamLeague Season 11,1883502,Alexei ''Solo'' Berezin ,7-8th
MDL Disneyland? Paris Major,1883502,Alexei ''Solo'' Berezin ,3rd
EPICENTER Major,1883502,Alexei ''Solo'' Berezin ,9-12th
The International 2019,1883502,Alexei ''Solo'' Berezin ,9-12th
The Chongqing Major,7439348,Aliwi ''w33'' Omar,9-12th
DreamLeague Season 11,7439348,Aliwi ''w33'' Omar,13-16th
MDL Disneyland? Paris Major,7439348,Aliwi ''w33'' Omar,2nd
EPICENTER Major,2163,Aliwi ''w33'' Omar,2nd
The International 2019,2163,Aliwi ''w33'' Omar,2nd
EPICENTER XL,2163,Amer ''Miracle-'' Al-Barkawi ,7-9th
ESL One Birmingham 2018,2163,Amer ''Miracle-'' Al-Barkawi ,1st
China Dota2 Supermajor,2163,Amer ''Miracle-'' Al-Barkawi ,4th
The International 2018,2163,Amer ''Miracle-'' Al-Barkawi ,13-16th
DreamLeague Season 11,2163,Amer ''Miracle-'' Al-Barkawi ,2nd
