The International 2019,Valve
EPICENTER Major,Epic Esports Events
MDL Disneyland? Paris Major,Mars Media
MDL Disneyland? Paris Major,Disneyland Paris Event Group
MDL Disneyland? Paris Major,Mineski Events Team
DreamLeague Season 11: The Stockholm Major,DreamHack
The Chongqing Major,StarLadder
The Chongqing Major,ImbaTV
The Kuala Lumpur Major,PGL
The Kuala Lumpur Major,eGG Network
The Kuala Lumpur Major,ImbaTV
The International 2018,Valve
China Dota2 Supermajor,PGL
China Dota2 Supermajor,Perfect World
ESL One Birmingham 2018,ESL
MDL Changsha Major,Mars Media
EPICENTER XL,Epic Esports Events
