The International 2019,Valve
EPICENTER Major,Ray Gaming
EPICENTER Major,eatwithfun
EPICENTER Major,HYPERPC
EPICENTER Major,SAP
MDL Disneyland? Paris Major,AMD
MDL Disneyland? Paris Major,SAP
MDL Disneyland? Paris Major,AOC Gaming
MDL Disneyland? Paris Major,HyperX
MDL Disneyland? Paris Major,Secretlab
MDL Disneyland? Paris Major,Sennheiser
MDL Disneyland? Paris Major,CORSAIR
DreamLeague Season 11: The Stockholm Major,CORSAIR
DreamLeague Season 11: The Stockholm Major,Monster Energy
DreamLeague Season 11: The Stockholm Major,Esport-Management
DreamLeague Season 11: The Stockholm Major,SAP
The Chongqing Major,Chongqing Cable Networks (Co-organizer)
The Chongqing Major,Zowie Gear
The Chongqing Major,DXRACER
The Chongqing Major,Damai (Tickets)
The Kuala Lumpur Major,Monster Energy
The Kuala Lumpur Major,U Mobile
The Kuala Lumpur Major,HyperX
The Kuala Lumpur Major,KFC Delivery
The Kuala Lumpur Major,Acer Predator
The Kuala Lumpur Major,Intel
The Kuala Lumpur Major,SAP
The Kuala Lumpur Major,Secretlab
The Kuala Lumpur Major,Thermaltake
The International 2018,Valve
China Dota2 Supermajor,AMD
China Dota2 Supermajor,Strafe Esports
China Dota2 Supermajor,HyperX
ESL One Birmingham 2018,Intel
ESL One Birmingham 2019,Mercedes-Benz
ESL One Birmingham 2020,Alienware
ESL One Birmingham 2021,Logitech G
ESL One Birmingham 2022,paysafecard
ESL One Birmingham 2023,NEEDforSEAT
MDL Changsha Major,DELL G Series Laptops
MDL Changsha Major,NMGD
MDL Changsha Major,ViewSonic
MDL Changsha Major,MOJOY
MDL Changsha Major,AutoFull
MDL Changsha Major,PN
EPICENTER XL,Monster Energy
EPICENTER XL,Yota
EPICENTER XL,Twitch
EPICENTER XL,HYPERPC
EPICENTER XL,Huomao
